,similar_clips,clip_id
204,[1029   57  364 1109 3204  346  397  466   34  266],194450424
205,[3635 3169 2716 1825 1165  353    3  303  254   92],217874316
206,[ 548  866   87 3034 3627  227  156 1778 2310  723],152477009
207,[  62  152  202  339 3712  160  357  124   60  105],206600572
208,[ 242 2672  685 2716  219  453 1049  844 3665   71],216658674
209,[ 335 1039  400   90 3044 3793 2121  975 1595  796],217809089
210,[2467 1004  263  417 1190  285 3224 3436  230  316],214667585
211,[3154 3665  182 1368   45  130  312   71  261  317],215093780
212,[1013 3605 1876  608  469  991 3621  779 2345 3740],216817216
213,[ 357 3529 3496  852  124   60  105  946   17 3043],216544137
214,[1111  261 3393 3499 3289 3392 1048  540  882 2430],216850224
215,[ 911 2813  879  269 1628  789  715   37 2370 2040],91315225
216,[ 614  344 2003 1964  195  796 1684 1515  458 1223],215997853
217,[ 117  760 1399 1695  542  195  259 3768  274 3314],216057494
218,[2621 3499   77 1116   62  329  183  289   96 2044],215833464
219,[ 807  208  267 3672 2411 1433 2055 2016 2860  723],187418097
220,[1496  558 1221 1697 1214  444 1315  725 2746 3260],98601226
221,[1484 2277 3610 3269   77 1319 1005 3863 2625 1477],203983112
222,[ 296 2020 2180 3563  107  950 3646 1062  115  141],215321383
223,[2568 2706  695  987 3402 1297  933 2462  310   28],215686125
224,[1025   43  728  879  645 1628  717 2040 2370  715],215498188
225,[1155  280 3138 1548  669 2152 3721 2948 2249  421],215516153
226,[3300   65 1080 1658 2412 1389  944 1111 2430  540],215510559
227,[ 548  745 3525 2112  866 3720   87  156  723  206],214617676
228,[3194  540 3478 1238 3845  371  261  229 2744 1184],214947122
229,[ 228 3167  147  314  153  261 3378 3845 1894 1184],214413623
230,[ 123  715   43 2040  307 2370  649  263 1004  285],213825705
231,[ 354  953 2691 1903  106  273 3770  255  544  455],213847671
232,[ 263 2140 3464 1004 3565 3616  230  285 2484 2521],214300845
233,[1935  556 2578  458 1785  467  776  861  335  488],213831476
234,[2663  274  470  963 3792 1100  695  855 1190  453],213933768
235,[2045  413 1000 1569 1276 2489  723  282  206   74],214352663
236,[1699 2750 1184 2000  346 1653 2240  521 1394  261],116368488
237,[1779   24  249  918 2007  203 2677  695  614 2504],213909955
238,[ 281 1019 3384  306 3591 2183 3545  963 1385  455],213274323
239,[3027 3023 2350  316  596 1328 1203  723  206  165],154653208
240,[2813 1025  728  121  645 1132  117  119  715  841],116309879
241,[2328  492 2468 1940   37 1352  359 3064 2582 2327],213804575
242,[ 208  178 3101  107 2716 1524  322 3256   79 2270],212981050
243,[1378 1190  536 1207 1679 2796 2462 2085  970  506],194361952
244,[1724 1212 1272 1627 1190 2168 1821 2233  779 1945],111523175
245,[1120  628  157  415 1355 2012 2938 2972 1024  568],212745551
246,[ 786 2251 1931 1733 3584 3664  597 1128 2533  528],212973707
247,[2154 3439 1270 2990  762 3138 1390 1215 2863 1087],212131283
248,[1049  316 3820  636 3378  256  368 1493 1288 2512],212541657
249,[2544  388  537  614 1684 1964  344 2329 1039  796],212505740
250,[ 173 3174  505 2060  653  755 1438 3446 2221 2017],212603149
251,[1025  540 1389 1111  905 1004  307 2430  123  563],142148479
252,[1964  167 3228  860  123  905  625  779  475 2038],212529590
253,[ 460 2456 3715 1319 1194 1075 2411 3654  102  161],212294393
254,[   3 1628 1695 1803 1512 1492  353 2607  205  303],206588966
255,[ 231 2691  354  946 3770 2297 2840 2683 2693 2308],173959909
256,[ 296 2118  157 1880 3185 2244 1383  248  479 2285],200331788
257,[2702 3817  524  804  422 2528 2135 2841  113 1636],210358686
258,[2410 1700  397  691 1130  726 1306 1045  631 1247],211794682
259,[1224  199 1403  270 1336 1927 2456 1239  217 3433],211630694
260,[1449 2463 1941 2765 1673 3424 3501 1066  694  103],211452489
261,[   9 3529   45  130 1184 3795  211  312   71  317],210876956
262,[2407 3522 3759 2679  742 2858 3247  380  481  557],211307490
263,[ 739  649  915 1025  345 1496  277 1004  230  285],203803551
264,[ 915 1496 1202 2127  853 2117 2655  523 1201 2669],210543509
265,[1932 1605 2017  184  653  159 2597  949 1307 1902],210599507
266,[ 359 1722  334 1029   57  364 1109  346 3235  204],195348975
267,[3672 2411 2016 3211 1094 1433 2860 3072  219  723],75640140
268,[1986 3768 2842 2010  871 2876 3707 1720 3635  419],209817895
269,[1686  715 2370  911  879   37 2813 2040 1628  789],78123821
270,[1110  347    3 2458   70 2067  927 2620 3218  434],207763253
271,[ 190 3249 1605 2367 3596  453 1748  898  520  848],209257564
272,[2452  728  480 1289  999 1200 1079 1313  300  308],204776636
273,[3261  219 2210 1925  124 3271   60  231 1668  105],171746381
274,[1100  462  753 3314  335  234  502  217   24  195],209694300
275,[ 261 2584  333  116  480 2452 1289  999 1200 1313],209508893
276,[2311   72 3544 2064 2487 3169 1668 2072  136  458],202515176
277,[ 781  263  576 1025 1315  717  345  411  915 1496],184483090
278,[2196  779 3371 1284   53 2656  290 1324  988  395],208648234
279,[ 717  998  119 1004 2872  117 1400  781  645  841],208671767
280,[2572  674  324 2097 3832 3768  268   39  225  804],207819986
281,[1127 1629 3719 2994 2926 2380   61  517 2424  680],208342512
282,[2045 1569  125  771  502  235  404 1720  759 1171],204263931
283,[ 319 1158   39 1098  542  666  440  503 1143 2781],207027607
284,[1587 2933  475 3126  307  505  123 1025  905 1834],164769476
